,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
0,Forsyth Park,Park,4.8,16538.0,"Park, Tourist attraction","Forsyth Park, Savannah, GA 31401",Savannah,USA,GA,,Nature,79382.4,4.67,"Atlanta, Augusta, Chattanooga, Savannah"
1,The Cathedral Basilica of St. John the Baptist,Catholic cathedral,4.8,5911.0,"Catholic cathedral, Catholic church, Tourist attraction","The Cathedral Basilica of St. John the Baptist, 222 E Harris St, Savannah, GA 31401",Savannah,USA,GA,,Religious,28372.8,4.8,"Atlanta, Augusta, Chattanooga, Savannah"
2,Fort Pulaski National Monument,Monument,4.8,5221.0,"Monument, Historical place, Historical landmark, Tourist attraction","Fort Pulaski National Monument, 101 Fort Pulaski Rd, Savannah, GA",Savannah,USA,GA,,Cultural,25060.8,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
3,Fountain at Forsyth Park,Historical landmark,4.8,4234.0,"Historical landmark, Tourist attraction","Fountain at Forsyth Park, 1 W Gaston St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,20323.2,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
4,Wormsloe State Historic Site,Historical place museum,4.5,3615.0,"Historical place museum, Museum, Park, State park","Wormsloe State Historic Site, 7601 Skidaway Rd, Savannah, GA 31406",Savannah,USA,GA,,Cultural,16267.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
5,American Prohibition Museum,Museum,4.6,3113.0,"Museum, Art museum, Heritage museum, Historical place museum, History museum, Tourist attraction","American Prohibition Museum, 209 W Saint Julian Street, Savannah, GA 31401",Savannah,USA,GA,,Cultural,14319.8,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
6,Sorrel Weed House Museum,History museum,4.6,2392.0,"History museum, Ghost town, Haunted house, Historical landmark, Historical place museum, Tour operator, Tourist attraction","Sorrel Weed House Museum, 6 W Harris St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,11003.199999999999,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
7,Owens-Thomas House & Slave Quarters,Historical place museum,4.5,2145.0,"Historical place museum, Historical landmark, History museum, Museum, Tourist attraction","Owens-Thomas House & Slave Quarters, 124 Abercorn St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,9652.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
8,Old Fort Jackson,Historical landmark,4.7,2081.0,"Historical landmark, Museum, Tourist attraction","Old Fort Jackson, 1 Fort Jackson Rd, Savannah, GA 31404",Savannah,USA,GA,,Cultural,9780.7,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
9,Hearse Ghost Tours,Tourist attraction,4.9,1912.0,"Tourist attraction, Entertainment agency, Tour operator, Travel clinic","Hearse Ghost Tours, 1410 E Broad St, Savannah, GA 31401",Savannah,USA,GA,,Entertainment,9368.800000000001,4.59,"Atlanta, Augusta, Chattanooga, Savannah"
10,Andrew Low House,Museum,4.6,1736.0,"Museum, Historical place museum, Tourist attraction","Andrew Low House, 329 Abercorn St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,7985.599999999999,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
11,Oatland Island Wildlife Center,Wildlife park,4.7,1671.0,"Wildlife park, Wildlife refuge","Oatland Island Wildlife Center, 711 Sandtown Rd, Savannah, GA 31410",Savannah,USA,GA,,Entertainment,7853.700000000001,4.59,"Atlanta, Augusta, Chattanooga, Savannah"
12,Daffin Park,Park,4.5,1470.0,"Park, Tourist attraction","Daffin Dog Park, E Victory Dr, Savannah, GA 31404",Savannah,USA,GA,,Nature,6615.0,4.67,"Atlanta, Augusta, Chattanooga, Savannah"
13,Jepson Center & Telfair Children's Art Museum (CAM),Art museum,4.5,1251.0,"Art museum, Modern art museum, Tourist attraction","Jepson Center & Telfair Children's Art Museum (CAM), 207 W York St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,5629.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
14,Mercer Williams House Museum,Museum,4.5,1118.0,"Museum, Historical landmark, Tourist attraction","Mercer Williams House Museum, 429 Bull St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,5031.0,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
15,Ships Of The Sea Maritime Museum,Historical place museum,4.5,1013.0,"Historical place museum, Museum, Tourist attraction","Ships Of The Sea Maritime Museum, 41 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah,USA,GA,,Cultural,4558.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
16,Telfair Academy,Museum,4.6,950.0,"Museum, Art museum, Historical landmark, History museum, Tourist attraction","Telfair Academy, 121 Barnard St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,4370.0,4.53,"Atlanta, Augusta, Chattanooga, Savannah"
