name,main_category,overarching_category,rating,reviews,normalized_value,city,latitude,longitude,address
Universal Studios Hollywood,Theme park,Entertainment/Amusement Park,4.6,153543,706297.8,Los-angeles,34.13812,-118.35338,"Universal Studios Hollywood, 100 Universal City Plaza, Universal City, CA 91608"
Santa Monica Pier,Fishing pier,Entertainment/Amusement Park,4.6,115353,530623.8,Los-angeles,34.0,-118.5,"Downtown Santa Monica, Santa Monica, Los Angeles County, California, 90401, United States"
Griffith Park,Park,Park/Scenic Spots,4.7,66813,314021.1,Los-angeles,34.13655,-118.2942,"Griffith Park, Los Angeles, CA 90027"
Universal CityWalk Hollywood,Shopping mall,Shopping,4.6,62698,288410.8,Los-angeles,34.13615,-118.35372,"5531, Citywalk Footway, Universal City, Los Angeles County, California, 91608, United States"
Hollywood Walk of Fame,Historical landmark,Landmark,4.0,47526,190104.0,Los-angeles,34.1017,-118.33368,"Hollywood Walk of Fame, 6901 Hollywood Blvd, Los Angeles, CA 90028"
The Getty,Art museum,Museum,4.8,30800,147840.0,Los-angeles,34.01945,-118.474205,"The Getty, 1200 Getty Center Dr, Los Angeles, CA 90049"
Los Angeles Zoo,Zoo,Zoo,4.4,19161,84308.4,Los-angeles,34.14861,-118.28403,"Los Angeles Zoo, 5333 Zoo Dr, Los Angeles, CA 90027"
Los Angeles County Museum of Art,Art museum,Museum,4.6,18655,85813.0,Los-angeles,34.06393,-118.35923,"Los Angeles County Museum of Art, 5905 Wilshire Blvd, Los Angeles, CA 90036"
California Science Center,Science museum,Museum,4.7,17819,83749.3,Los-angeles,34.01587,-118.28611,"California Science Center, 700, Exposition Park Drive, Exposition Park, Los Angeles County, California, 90037, United States"
Hollywood Bowl,Amphitheater,Entertainment/Amusement Park,4.7,16208,76177.6,Los-angeles,34.11279,-118.33924,"The BOWL Store, Odin Path, Whitley Heights Historic District, Los Angeles County, California, 90068, United States"
The Broad,Modern art museum,Museum,4.7,14751,69329.7,Los-angeles,34.05447,-118.25056,"The Broad Museum, 221, South Grand Avenue, Bunker Hill, Downtown, Los Angeles County, California, 90012, United States"
Griffith Observatory,Observatory,Museum,4.7,13406,63008.2,Los-angeles,34.11862,-118.30035,"Griffith Observatory, 2800 E Observatory Rd, Los Angeles, CA 90027"
La Brea Tar Pits and Museum,Museum,Museum,4.6,13219,60807.4,Los-angeles,34.063847,-118.356522,"La Brea Tar Pits and Museum, 5801 Wilshire Blvd, Los Angeles, CA 90036"
