date,Temperature (°F),Precipitation Probability (%),Precipitation (in),Rain (in),Showers (in),Snowfall (in),WMO Weather Code,Wind Speed (mph),Wind Gusts (mph)
2025-02-17 00:00:00+00:00,70.8089,0.0,0.0,0.0,0.0,0.0,3.0,7.395645,9.395399
2025-02-17 01:00:00+00:00,66.4889,0.0,0.0,0.0,0.0,0.0,3.0,6.0440416,9.619101
2025-02-17 02:00:00+00:00,60.6389,0.0,0.0,0.0,0.0,0.0,2.0,4.124824,8.5006
2025-02-17 03:00:00+00:00,57.3089,0.0,0.0,0.0,0.0,0.0,3.0,3.8225873,9.619101
2025-02-17 04:00:00+00:00,56.0489,0.0,0.0,0.0,0.0,0.0,3.0,3.5370076,5.8162
2025-02-17 05:00:00+00:00,55.0589,0.0,0.0,0.0,0.0,0.0,3.0,2.1222045,5.1450996
2025-02-17 06:00:00+00:00,53.078903,0.0,0.0,0.0,0.0,0.0,3.0,4.0328093,5.8162
2025-02-17 07:00:00+00:00,52.0889,0.0,0.0,0.0,0.0,0.0,3.0,3.702894,4.474
2025-02-17 08:00:00+00:00,51.3689,0.0,0.0,0.0,0.0,0.0,3.0,3.702894,4.0266
2025-02-17 09:00:00+00:00,50.9189,0.0,0.0,0.0,0.0,0.0,3.0,4.2737823,4.2503
2025-02-17 10:00:00+00:00,50.4689,0.0,0.0,0.0,0.0,0.0,3.0,4.4963145,4.6976995
2025-02-17 11:00:00+00:00,50.018898,0.0,0.0,0.0,0.0,0.0,3.0,4.5240526,4.6976995
2025-02-17 12:00:00+00:00,49.6589,0.0,0.0,0.0,0.0,0.0,3.0,4.5626025,4.6976995
2025-02-17 13:00:00+00:00,49.1189,0.0,0.0,0.0,0.0,0.0,3.0,4.2503,4.2503
2025-02-17 14:00:00+00:00,48.8489,0.0,0.0,0.0,0.0,0.0,3.0,4.6116934,4.6976995
2025-02-17 15:00:00+00:00,48.2189,0.0,0.0,0.0,0.0,0.0,0.0,4.479589,4.9214
2025-02-17 16:00:00+00:00,52.268898,0.0,0.0,0.0,0.0,0.0,0.0,2.237,3.3555
2025-02-17 17:00:00+00:00,56.4089,0.0,0.0,0.0,0.0,0.0,2.0,1.6285605,4.9214
2025-02-17 18:00:00+00:00,59.3789,0.0,0.0,0.0,0.0,0.0,0.0,3.414632,6.9346995
